method,dos_failed_call_0.0,dos_failed_call_0.1,dos_failed_call_0.2,dos_failed_call_0.3,integer_overflow_0.0,integer_overflow_0.1,integer_overflow_0.2,integer_overflow_0.3,reentrancy_0.0,reentrancy_0.1,reentrancy_0.2,reentrancy_0.3,time_dependency_0.0,time_dependency_0.1,time_dependency_0.2,time_dependency_0.3
Ablation_Full,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,1.0,0.7317073170731707,0.7317073170731707,0.7317073170731707,0.7272727272727273,0.696969696969697,0.696969696969697,0.696969696969697,0.9,0.9,0.9,0.9
Ablation_woLCN,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.7317073170731707,0.7317073170731707,0.6097560975609756,0.0,0.696969696969697,0.5757575757575758,0.30303030303030304,0.0,0.9,0.9,0.0,0.0
Ablation_woWarmup,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.7560975609756098,0.7560975609756098,0.7560975609756098,0.7560975609756098,0.7272727272727273,0.7272727272727273,0.696969696969697,0.7272727272727273,1.0,1.0,1.0,1.0
Ablation_woOrtho,0.6666666666666666,0.5,0.5,0.5,0.7073170731707317,0.7073170731707317,0.6829268292682927,0.12195121951219512,0.696969696969697,0.6666666666666666,0.48484848484848486,0.0,0.9,0.9,0.2,0.0
Ablation_woTransformer,0.3333333333333333,0.0,0.0,0.16666666666666666,0.07317073170731707,0.2926829268292683,0.43902439024390244,0.024390243902439025,0.3939393939393939,0.18181818181818182,0.0,0.09090909090909091,0.0,0.0,0.0,0.0
