method,dos_failed_call_diff,integer_overflow_diff,reentrancy_diff,time_dependency_diff
RESCUER,0.3478260869565218,0.2837370242214533,0.42105263157894735,0.5142857142857143
FedAvg,0.42105263157894735,0.40476190476190477,0.0,0.5384615384615384
CL,0.3478260869565218,0.484375,0.42477876106194684,0.5806451612903225
CLC,0.2608695652173913,0.2837370242214533,0.28085106382978725,0.2702702702702703
FedCorr,0.36363636363636365,0.11320754716981131,0.0,0.0
ARFL,0.4444444444444444,0.34210526315789475,0.0,0.6206896551724138
