method,dos_failed_call_0.0,dos_failed_call_0.1,dos_failed_call_0.2,dos_failed_call_0.3,integer_overflow_0.0,integer_overflow_0.1,integer_overflow_0.2,integer_overflow_0.3,reentrancy_0.0,reentrancy_0.1,reentrancy_0.2,reentrancy_0.3,time_dependency_0.0,time_dependency_0.1,time_dependency_0.2,time_dependency_0.3
RESCUER,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.7317073170731707,0.7317073170731707,0.7073170731707317,0.7317073170731707,0.696969696969697,0.696969696969697,0.696969696969697,0.696969696969697,0.9,0.9,0.9,0.9
FedAvg,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7317073170731707,0.7317073170731707,0.6097560975609756,0.0,0.696969696969697,0.6666666666666666,0.3333333333333333,0.0,0.9,0.9,0.1,0.0
CL,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7560975609756098,0.7560975609756098,0.7560975609756098,0.7560975609756098,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.696969696969697,0.9,0.9,0.9,0.0
CLC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FedCorr,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7317073170731707,0.6341463414634146,0.5365853658536586,0.0,0.696969696969697,0.0,0.0,0.0,0.9,0.9,0.9,0.0
ARFL,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7317073170731707,0.6341463414634146,0.21951219512195122,0.0,0.696969696969697,0.2727272727272727,0.09090909090909091,0.0,0.9,0.9,0.8,0.0
