method,dos_failed_call_0.0,dos_failed_call_0.1,dos_failed_call_0.2,dos_failed_call_0.3,integer_overflow_0.0,integer_overflow_0.1,integer_overflow_0.2,integer_overflow_0.3,reentrancy_0.0,reentrancy_0.1,reentrancy_0.2,reentrancy_0.3,time_dependency_0.0,time_dependency_0.1,time_dependency_0.2,time_dependency_0.3
Ablation_Full,0.625,0.65,0.675,0.85,0.16532258064516128,0.7459677419354839,0.75,0.7540322580645161,0.6683168316831684,0.6782178217821783,0.7128712871287128,0.7079207920792079,0.78125,0.796875,0.75,0.75
Ablation_woLCN,0.675,0.775,0.8,0.8,0.75,0.7580645161290323,0.7741935483870968,0.8346774193548387,0.7029702970297029,0.7574257425742574,0.7772277227722773,0.8366336633663366,0.796875,0.8125,0.84375,0.84375
Ablation_woWarmup,0.625,0.625,0.625,0.85,0.7338709677419355,0.7379032258064516,0.7419354838709677,0.7540322580645161,0.6683168316831684,0.6881188118811881,0.7029702970297029,0.6683168316831684,0.75,0.734375,0.734375,0.734375
Ablation_woOrtho,0.775,0.75,0.8,0.8,0.7459677419354839,0.75,0.75,0.8104838709677419,0.7376237623762376,0.7574257425742574,0.7920792079207921,0.8217821782178217,0.796875,0.8125,0.859375,0.84375
Ablation_woTransformer,0.8,0.85,0.85,0.875,0.8266129032258065,0.8387096774193549,0.842741935483871,0.8387096774193549,0.8168316831683168,0.8465346534653465,0.8316831683168316,0.8316831683168316,0.84375,0.84375,0.84375,0.84375
