method,dos_failed_call_0.0,dos_failed_call_0.1,dos_failed_call_0.2,dos_failed_call_0.3,integer_overflow_0.0,integer_overflow_0.1,integer_overflow_0.2,integer_overflow_0.3,reentrancy_0.0,reentrancy_0.1,reentrancy_0.2,reentrancy_0.3,time_dependency_0.0,time_dependency_0.1,time_dependency_0.2,time_dependency_0.3
Ablation_Full,0.3478260869565218,0.36363636363636365,0.3809523809523809,0.0,0.2837370242214533,0.4878048780487805,0.4918032786885245,0.4958677685950414,0.41739130434782606,0.4144144144144144,0.44230769230769235,0.4380952380952381,0.5625000000000001,0.5806451612903225,0.5294117647058825,0.5294117647058825
Ablation_woLCN,0.3809523809523809,0.4705882352941177,0.5,0.42857142857142855,0.4918032786885245,0.5,0.4716981132075472,0.0,0.4339622641509434,0.4367816091954023,0.3076923076923077,0.0,0.5806451612903225,0.6,0.0,0.0
Ablation_woWarmup,0.3478260869565218,0.3478260869565218,0.3478260869565218,0.0,0.484375,0.4881889763779528,0.49206349206349204,0.5040650406504065,0.41739130434782606,0.43243243243243246,0.4339622641509434,0.41739130434782606,0.5555555555555556,0.5405405405405406,0.5405405405405406,0.5405405405405406
Ablation_woOrtho,0.4705882352941177,0.37499999999999994,0.42857142857142855,0.42857142857142855,0.4793388429752066,0.48333333333333334,0.4745762711864407,0.17543859649122806,0.4646464646464647,0.47311827956989244,0.4324324324324324,0.0,0.5806451612903225,0.6,0.30769230769230765,0.0
Ablation_woTransformer,0.3333333333333333,0.0,0.0,0.2857142857142857,0.12244897959183672,0.375,0.48,0.047619047619047616,0.4126984126984127,0.27906976744186046,0.0,0.15000000000000002,0.0,0.0,0.0,0.0
