method,dos_failed_call_0.0,dos_failed_call_0.1,dos_failed_call_0.2,dos_failed_call_0.3,integer_overflow_0.0,integer_overflow_0.1,integer_overflow_0.2,integer_overflow_0.3,reentrancy_0.0,reentrancy_0.1,reentrancy_0.2,reentrancy_0.3,time_dependency_0.0,time_dependency_0.1,time_dependency_0.2,time_dependency_0.3
RESCUER,0.3478260869565218,0.37499999999999994,0.3478260869565218,0.3478260869565218,0.4878048780487805,0.4918032786885245,0.48333333333333334,0.4918032786885245,0.41071428571428575,0.4380952380952381,0.4339622641509434,0.41818181818181815,0.5294117647058825,0.5294117647058825,0.6,0.5625000000000001
FedAvg,0.3478260869565218,0.42105263157894735,0.42105263157894735,0.5,0.4918032786885245,0.4918032786885245,0.47619047619047616,0.0,0.4299065420560748,0.44000000000000006,0.3142857142857143,0.0,0.6,0.6,0.18181818181818182,0.0
CL,0.3333333333333333,0.3478260869565218,0.3478260869565218,0.3478260869565218,0.4769230769230769,0.4881889763779528,0.484375,0.49600000000000005,0.4067796610169491,0.4067796610169491,0.41739130434782606,0.41818181818181815,0.5142857142857143,0.5294117647058825,0.5142857142857143,0.0
CLC,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2837370242214533,0.2837370242214533,0.2837370242214533,0.2837370242214533,0.28085106382978725,0.28085106382978725,0.28085106382978725,0.28085106382978725,0.2702702702702703,0.2702702702702703,0.2702702702702703,0.2702702702702703
FedCorr,0.3478260869565218,0.3809523809523809,0.4444444444444444,0.4444444444444444,0.5,0.46846846846846846,0.4444444444444444,0.0,0.4299065420560748,0.0,0.0,0.0,0.5294117647058825,0.6,0.6206896551724138,0.0
ARFL,0.3478260869565218,0.42105263157894735,0.5,0.4705882352941177,0.4918032786885245,0.4727272727272728,0.28125,0.0,0.4339622641509434,0.3050847457627119,0.13043478260869568,0.0,0.5806451612903225,0.5806451612903225,0.6153846153846154,0.0
