method,dos_failed_call_0.0,dos_failed_call_0.1,dos_failed_call_0.2,dos_failed_call_0.3,integer_overflow_0.0,integer_overflow_0.1,integer_overflow_0.2,integer_overflow_0.3,reentrancy_0.0,reentrancy_0.1,reentrancy_0.2,reentrancy_0.3,time_dependency_0.0,time_dependency_0.1,time_dependency_0.2,time_dependency_0.3
Ablation_Full,0.23529411764705882,0.25,0.26666666666666666,0.0,0.16532258064516128,0.36585365853658536,0.37037037037037035,0.375,0.2926829268292683,0.2948717948717949,0.323943661971831,0.3194444444444444,0.4090909090909091,0.42857142857142855,0.375,0.375
Ablation_woLCN,0.26666666666666666,0.36363636363636365,0.4,0.375,0.37037037037037035,0.379746835443038,0.38461538461538464,0.0,0.3150684931506849,0.35185185185185186,0.3125,0.0,0.42857142857142855,0.45,0.0,0.0
Ablation_woWarmup,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.0,0.3563218390804598,0.36046511627906974,0.36470588235294116,0.3780487804878049,0.2926829268292683,0.3076923076923077,0.3150684931506849,0.2926829268292683,0.38461538461538464,0.37037037037037035,0.37037037037037035,0.37037037037037035
Ablation_woOrtho,0.36363636363636365,0.3,0.375,0.375,0.3625,0.3670886075949367,0.36363636363636365,0.3125,0.3484848484848485,0.36666666666666664,0.3902439024390244,0.0,0.42857142857142855,0.45,0.6666666666666666,0.0
Ablation_woTransformer,0.3333333333333333,0.0,0.0,1.0,0.375,0.5217391304347826,0.5294117647058824,1.0,0.43333333333333335,0.6,0.0,0.42857142857142855,0.0,0.0,0.0,0.0
