method,dos_failed_call_0.0,dos_failed_call_0.1,dos_failed_call_0.2,dos_failed_call_0.3,integer_overflow_0.0,integer_overflow_0.1,integer_overflow_0.2,integer_overflow_0.3,reentrancy_0.0,reentrancy_0.1,reentrancy_0.2,reentrancy_0.3,time_dependency_0.0,time_dependency_0.1,time_dependency_0.2,time_dependency_0.3
RESCUER,0.625,0.75,0.625,0.625,0.7459677419354839,0.75,0.75,0.75,0.6732673267326733,0.7079207920792079,0.7029702970297029,0.6831683168316832,0.75,0.75,0.8125,0.78125
FedAvg,0.625,0.725,0.725,0.8,0.75,0.75,0.7782258064516129,0.8346774193548387,0.698019801980198,0.7227722772277227,0.7623762376237624,0.8366336633663366,0.8125,0.8125,0.859375,0.84375
CL,0.6,0.625,0.625,0.625,0.7258064516129032,0.7379032258064516,0.7338709677419355,0.7459677419354839,0.6534653465346535,0.6534653465346535,0.6683168316831684,0.6831683168316832,0.734375,0.75,0.734375,0.84375
CLC,0.15,0.15,0.15,0.15,0.16532258064516128,0.16532258064516128,0.16532258064516128,0.16532258064516128,0.16336633663366337,0.16336633663366337,0.16336633663366337,0.16336633663366337,0.15625,0.15625,0.15625,0.15625
FedCorr,0.625,0.675,0.75,0.75,0.7580645161290323,0.7620967741935484,0.7782258064516129,0.8346774193548387,0.698019801980198,0.8118811881188119,0.8168316831683168,0.8366336633663366,0.75,0.8125,0.828125,0.84375
ARFL,0.625,0.725,0.8,0.775,0.75,0.7661290322580645,0.8145161290322581,0.8346774193548387,0.7029702970297029,0.7970297029702971,0.801980198019802,0.8366336633663366,0.796875,0.796875,0.84375,0.84375
