method,dos_failed_call_0.0,integer_overflow_0.0,reentrancy_0.0,time_dependency_0.0
Motivation_Exp1,0.25,0.5609756097560976,0.34146341463414637,0.2727272727272727
Motivation_Exp2,0.25,0.46938775510204084,0.30303030303030304,0.35714285714285715
Motivation_Exp3,0.25,0.4406779661016949,0.2682926829268293,0.3225806451612903
Motivation_Exp4,0.09210052442029444,0.3450316085103808,0.21582913909237184,0.18823549134643627
