method,dos_failed_call_0.0,dos_failed_call_0.1,dos_failed_call_0.2,dos_failed_call_0.3,integer_overflow_0.0,integer_overflow_0.1,integer_overflow_0.2,integer_overflow_0.3,reentrancy_0.0,reentrancy_0.1,reentrancy_0.2,reentrancy_0.3,time_dependency_0.0,time_dependency_0.1,time_dependency_0.2,time_dependency_0.3
RESCUER,0.23529411764705882,0.3,0.23529411764705882,0.23529411764705882,0.36585365853658536,0.37037037037037035,0.3670886075949367,0.37037037037037035,0.2911392405063291,0.3194444444444444,0.3150684931506849,0.2987012987012987,0.375,0.375,0.45,0.4090909090909091
FedAvg,0.23529411764705882,0.3076923076923077,0.3076923076923077,0.4,0.37037037037037035,0.37037037037037035,0.390625,0.0,0.3108108108108108,0.3283582089552239,0.2972972972972973,0.0,0.45,0.45,1.0,0.0
CL,0.2222222222222222,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.34831460674157305,0.36046511627906974,0.3563218390804598,0.36904761904761907,0.2823529411764706,0.2823529411764706,0.2926829268292683,0.2987012987012987,0.36,0.375,0.36,0.0
CLC,0.15,0.15,0.15,0.15,0.16532258064516128,0.16532258064516128,0.16532258064516128,0.16532258064516128,0.16336633663366337,0.16336633663366337,0.16336633663366337,0.16336633663366337,0.15625,0.15625,0.15625,0.15625
FedCorr,0.23529411764705882,0.26666666666666666,0.3333333333333333,0.3333333333333333,0.379746835443038,0.37142857142857144,0.3793103448275862,0.0,0.3108108108108108,0.0,0.0,0.0,0.375,0.45,0.47368421052631576,0.0
ARFL,0.23529411764705882,0.3076923076923077,0.4,0.36363636363636365,0.37037037037037035,0.37681159420289856,0.391304347826087,0.0,0.3150684931506849,0.34615384615384615,0.23076923076923078,0.0,0.42857142857142855,0.42857142857142855,0.5,0.0
