method,vulnerability,noise_type,noise_rate,noise_bucket,F1 score,Precision,Recall,Accuracy,TP,TN,FP,FN,noise_sort
Ablation_woLCN,reentrancy,fn_noise,0.3,0.3,0.0,0.0,0.0,0.8366336633663366,0,169,0,33,0.3
Ablation_woLCN,reentrancy,pure,0.0,0.0,0.4339622641509434,0.3150684931506849,0.696969696969697,0.7029702970297029,23,119,50,10,0.0
Ablation_woLCN,time_dependency,fn_noise,0.1,0.1,0.6,0.45,0.9,0.8125,9,43,11,1,0.1
Ablation_woLCN,time_dependency,fn_noise,0.2,0.2,0.0,0.0,0.0,0.84375,0,54,0,10,0.2
Ablation_woLCN,time_dependency,fn_noise,0.3,0.3,0.0,0.0,0.0,0.84375,0,54,0,10,0.3
Ablation_woLCN,time_dependency,pure,0.0,0.0,0.5806451612903225,0.42857142857142855,0.9,0.796875,9,42,12,1,0.0
Ablation_woOrtho,dos_failed_call,fn_noise,0.1,0.1,0.37499999999999994,0.3,0.5,0.75,3,27,7,3,0.1
Ablation_woOrtho,dos_failed_call,fn_noise,0.2,0.2,0.42857142857142855,0.375,0.5,0.8,3,29,5,3,0.2
Ablation_woOrtho,dos_failed_call,fn_noise,0.3,0.3,0.42857142857142855,0.375,0.5,0.8,3,29,5,3,0.3
Ablation_woOrtho,dos_failed_call,pure,0.0,0.0,0.4705882352941177,0.36363636363636365,0.6666666666666666,0.775,4,27,7,2,0.0
Ablation_woOrtho,integer_overflow,fn_noise,0.1,0.1,0.48333333333333334,0.3670886075949367,0.7073170731707317,0.75,29,157,50,12,0.1
Ablation_woOrtho,integer_overflow,fn_noise,0.2,0.2,0.4745762711864407,0.36363636363636365,0.6829268292682927,0.75,28,158,49,13,0.2
Ablation_woOrtho,integer_overflow,fn_noise,0.3,0.3,0.17543859649122806,0.3125,0.12195121951219512,0.8104838709677419,5,196,11,36,0.3
Ablation_woOrtho,integer_overflow,pure,0.0,0.0,0.4793388429752066,0.3625,0.7073170731707317,0.7459677419354839,29,156,51,12,0.0
Ablation_woOrtho,reentrancy,fn_noise,0.1,0.1,0.47311827956989244,0.36666666666666664,0.6666666666666666,0.7574257425742574,22,131,38,11,0.1
Ablation_woOrtho,reentrancy,fn_noise,0.2,0.2,0.4324324324324324,0.3902439024390244,0.48484848484848486,0.7920792079207921,16,144,25,17,0.2
Ablation_woOrtho,reentrancy,fn_noise,0.3,0.3,0.0,0.0,0.0,0.8217821782178217,0,166,3,33,0.3
Ablation_woOrtho,reentrancy,pure,0.0,0.0,0.4646464646464647,0.3484848484848485,0.696969696969697,0.7376237623762376,23,126,43,10,0.0
Ablation_woOrtho,time_dependency,fn_noise,0.1,0.1,0.6,0.45,0.9,0.8125,9,43,11,1,0.1
Ablation_woOrtho,time_dependency,fn_noise,0.2,0.2,0.30769230769230765,0.6666666666666666,0.2,0.859375,2,53,1,8,0.2
Ablation_woOrtho,time_dependency,fn_noise,0.3,0.3,0.0,0.0,0.0,0.84375,0,54,0,10,0.3
Ablation_woOrtho,time_dependency,pure,0.0,0.0,0.5806451612903225,0.42857142857142855,0.9,0.796875,9,42,12,1,0.0
Ablation_woTransformer,dos_failed_call,fn_noise,0.1,0.1,0.0,0.0,0.0,0.85,0,34,0,6,0.1
